manly had:0.5
the nervous:6.1954e-05
to being:0.000136743
dislike to:1
a dislike:0.000170271
brother’s rooms:0.333333
me sick:0.00119617
who indeed:0.00129534
had observed:0.000584795
principal numbers:0.1
unusual traits:0.0909091
only unusual:0.00241546
<s> gang:5.9202e-05
of superstition:0.000106758
certain tinge:0.0135135
the mood:6.1954e-05
luck </s>:0.333333
evening though:0.0136986
done unless:0.00813008
children nor:0.00411523
twoe or:0.333333
travelers who:1
gayeties and:0.5
his ruin:0.000443459
shown into:0.0131579
doctor’s ringing:0.166667
і та:0.00194553
major expressed:0.166667
the major:0.000123908
at mawson’s:0.00181488
week out:0.011236
<s> pursue:1.9734e-05
i conversed:0.000280348
london a:0.00444444
five of:0.0104167
struck major:0.0294118
another fact:0.0070922
south i:0.0909091
been turned:0.00134771
our powers:0.00289855
he pinching:0.000415628
<s> decision:1.9734e-05
appears never:0.0243902
son with:0.0123457
were accordingly:0.00181818
patient seated:0.0555556
the soles:6.1954e-05
appealing for:0.333333
<s> landlord:1.9734e-05
mood but:0.0833333
soldier in:0.0714286
example itm:0.025641
jovial old:1
some singular:0.0018622
wife about:0.00250627
their mutual:0.000981354
trunk would:0.5
would sing:0.0016835
absolutely nothing:0.0277778
joyned them:1
<s> couple:3.9468e-05
seized at:0.0769231
hardly dare:0.0140845
even at:0.0182927
глузду пильнувати:0.2
hot air:0.0666667
estimate the:0.166667
aldershot any:0.125
а всі:0.00398406
throw some:0.0625
re act:0.0625
evening but:0.0136986
sawda </s>:1
croker describes:0.333333
less obtrusively:0.0135135
сідати за:0.333333
sore bruien:0.166667
were absent:0.00272727
some further:0.0018622
assize for:0.25
acutely uneasy:1
deduce a:0.2
misunderstanding between:1
one large:0.00111235
eater </s>:1
5s by:0.0344828
spare you:0.142857
handed it:0.111111
facts assures:0.0285714
my having:0.000852515
a uniformly:0.000170271
to usurpation:0.000136743
barclay’s family:0.2
catch hold:0.0434783
каже я:0.166667
easy door:0.0526316
prices_ vol:1
gold stuffing:0.03125
heard that:0.0550459
подумавши </s>:0.25
increased the:0.125
colonel barclay’s:0.0238095
which winds:0.00066313
queenly appearance:1
a striking:0.000340541
rushed upstairs:0.0322581
messenger unaddressed:0.333333
occupacon wtin:1
years she:0.00657895
considerably higher:0.142857
married for:0.00877193
path ran:0.0714286
add that:0.0909091
officers </s>:0.0714286
за сон:0.00884956
always i:0.0104167
<s> taste:1.9734e-05
<s> barclay:0.000335478
smoke shoot:0.0714286
dropped on:0.0454545
spend but:0.142857
mantelpiece as:0.222222
friction </s>:1
much impoverish:0.00321543
i tried:0.00112139
saying anything:0.0263158
little wider:0.00240964
he slouched:0.000831255
unfitted for:1
social friction:0.0153846
refund of:0.28125
здавалося він:0.1
flung into:0.142857
the transport:6.1954e-05
swarthmore hall_:0.5
two upon:0.00266667
little social:0.00240964
kan a:1
therefore as:0.0108696
busy bee:0.0666667
her feet:0.00208117
colour sergeant:0.2
had married:0.00233918
gadabout </s>:1
spent the:0.047619
їй вони:0.0131579
interpretation and:0.5
his bravery:0.000443459
